date	u10	v10	mslp	t2	hum	cc
2013-01-02 14:00:00	-0.18	0.50	1013.0	-4.50	97.6	0.6
2013-01-02 15:00:00	-0.22	0.37	1013.0	-4.73	98.9	0.6
2013-01-02 16:00:00	-0.28	0.50	1013.0	-5.67	98.9	0.6
2013-01-02 17:00:00	-0.23	0.45	1013.0	-6.68	99.6	0.6
2013-01-02 18:00:00	-0.45	0.58	1013.0	-6.97	99.7	0.6
2013-01-02 19:00:00	-0.44	0.82	1013.0	-7.29	99.8	0.6
2013-01-02 20:00:00	-0.51	0.84	1013.0	-8.31	99.9	0.6
2013-01-02 21:00:00	-0.56	0.91	1013.0	-8.29	99.4	0.6
2013-01-02 22:00:00	-0.61	1.14	1013.0	-7.12	99.6	0.6
2013-01-02 23:00:00	-0.57	1.03	1013.0	-7.72	99.6	0.6
2013-01-03 00:00:00	-0.63	1.12	1013.0	-6.85	99.6	0.6
2013-01-03 01:00:00	-0.49	1.01	1013.0	-5.39	99.7	0.6
2013-01-03 02:00:00	-0.29	0.58	1013.0	-4.43	100.0	0.6
2013-01-03 03:00:00	-0.18	0.36	1013.0	-3.79	100.0	0.6
2013-01-03 04:00:00	-0.31	0.49	1013.0	-2.92	100.0	0.6
2013-01-03 05:00:00	-0.44	0.61	1013.0	-2.89	100.0	0.6
2013-01-03 06:00:00	-0.57	0.74	1013.0	-2.45	100.0	0.6
2013-01-03 07:00:00	-0.70	0.87	1013.0	-2.00	100.0	0.6
2013-01-03 08:00:00	-0.83	0.99	1013.0	-2.23	100.0	0.6
2013-01-03 09:00:00	-0.96	1.12	1013.0	-3.42	100.0	0.6
2013-01-03 10:00:00	-1.09	1.25	1013.0	-4.62	100.0	0.6
2013-01-03 11:00:00	-0.75	1.42	1013.0	-3.30	100.0	0.6
2013-01-03 12:00:00	0.30	0.29	1013.0	-0.84	99.3	0.6
2013-01-03 13:00:00	0.75	0.10	1013.0	2.61	93.2	0.6
2013-01-03 14:00:00	0.76	0.04	1013.0	2.61	90.9	0.6
2013-01-03 15:00:00	0.96	-0.04	1013.0	2.75	87.6	0.6
2013-01-03 16:00:00	0.64	-0.19	1013.0	2.09	89.1	0.6
2013-01-03 17:00:00	0.30	0.13	1013.0	2.11	86.1	0.6
2013-01-03 18:00:00	-0.29	0.77	1013.0	-2.03	97.5	0.6
2013-01-03 19:00:00	0.59	0.27	1013.0	0.14	90.7	0.6
