#date	u10	v10	mslp	t2	hum	cc
2014-01-01 01:00:00	-0.94	0.90	1008.90	0.15	95.90	nan
2014-01-01 02:00:00	-1.33	0.99	1008.50	0.48	99.20	nan
2014-01-01 03:00:00	-0.98	1.12	1008.00	0.49	100.00	nan
2014-01-01 04:00:00	-0.97	1.24	1007.60	0.57	100.00	nan
2014-01-01 05:00:00	-0.66	0.91	1007.10	0.82	100.00	nan
2014-01-01 06:00:00	-0.15	0.14	1006.40	0.64	100.00	1.000
2014-01-01 07:00:00	-1.28	1.62	1005.80	1.12	100.00	1.000
2014-01-01 08:00:00	-1.45	2.64	1005.60	1.24	100.00	1.000
2014-01-01 09:00:00	-1.35	2.91	1005.80	1.15	100.00	1.000
2014-01-01 10:00:00	-1.87	3.35	1005.80	0.81	100.00	1.000
2014-01-01 11:00:00	-1.80	3.00	1005.40	0.52	100.00	1.000
2014-01-01 12:00:00	-1.43	2.17	1005.30	0.19	100.00	1.000
2014-01-01 13:00:00	-1.57	2.99	1004.80	-0.01	100.00	1.000
2014-01-01 14:00:00	-1.37	2.57	1004.50	-0.31	100.00	1.000
2014-01-01 15:00:00	-1.40	2.96	1004.70	-0.50	100.00	1.000
2014-01-01 16:00:00	-1.70	2.69	1004.90	-0.64	100.00	1.000
2014-01-01 17:00:00	-1.77	3.04	1004.50	-0.68	100.00	1.000
2014-01-01 18:00:00	-1.44	2.49	1004.70	-0.81	100.00	1.000
2014-01-01 19:00:00	-1.37	2.54	1004.60	-0.86	100.00	1.000
2014-01-01 20:00:00	-1.13	1.56	1004.80	-1.06	100.00	1.000
2014-01-01 21:00:00	-0.97	1.89	1005.30	-1.11	100.00	1.000
2014-01-01 22:00:00	-0.95	1.35	1005.30	-1.11	100.00	1.000
2014-01-01 23:00:00	-0.86	1.25	1005.10	-1.09	100.00	1.000
2014-01-02 00:00:00	-0.72	1.54	1004.70	-1.12	100.00	1.000
2014-01-02 01:00:00	-0.92	1.28	1004.30	-1.07	100.00	1.000
2014-01-02 02:00:00	-0.92	1.78	1003.80	-0.88	100.00	1.000
2014-01-02 03:00:00	-1.30	2.66	1003.10	-0.67	100.00	1.000
2014-01-02 04:00:00	-1.66	3.74	1002.30	-0.49	100.00	1.000
2014-01-02 05:00:00	-1.57	3.41	1001.70	-0.34	100.00	1.000
2014-01-02 06:00:00	-1.77	3.46	1001.80	-0.34	100.00	1.000
2014-01-02 07:00:00	-2.02	3.37	1001.60	-0.53	100.00	1.000
2014-01-02 08:00:00	-1.59	3.04	1001.70	-0.76	100.00	1.000
2014-01-02 09:00:00	-1.72	3.06	1001.70	-0.92	100.00	1.000
2014-01-02 10:00:00	-1.07	2.28	1001.10	-0.84	100.00	1.000
2014-01-02 11:00:00	-1.18	2.34	1000.70	-0.71	100.00	1.000
2014-01-02 12:00:00	-1.16	2.38	999.80	-0.64	100.00	1.000
2014-01-02 13:00:00	-0.84	1.96	999.50	-0.60	100.00	1.000
2014-01-02 14:00:00	-0.73	1.30	999.50	-0.71	100.00	1.000
2014-01-02 15:00:00	-0.77	1.17	999.20	-0.77	100.00	1.000
2014-01-02 16:00:00	-0.67	1.17	999.10	-0.79	100.00	1.000
2014-01-02 17:00:00	-0.70	1.29	999.20	-0.82	100.00	1.000
2014-01-02 18:00:00	-0.93	2.00	999.30	-0.82	100.00	1.000
2014-01-02 19:00:00	-0.90	1.92	999.20	-0.71	100.00	0.990
2014-01-02 20:00:00	-0.80	1.30	999.40	-0.58	100.00	0.979
2014-01-02 21:00:00	-0.53	0.90	999.50	-0.48	100.00	0.969
2014-01-02 22:00:00	-0.51	0.82	999.30	-0.38	100.00	0.958
2014-01-02 23:00:00	-0.28	0.62	999.20	-0.30	100.00	0.948
2014-01-03 00:00:00	-0.57	0.92	999.20	-0.24	100.00	0.938
2014-01-03 01:00:00	-0.52	0.74	999.30	-0.23	100.00	0.927
2014-01-03 02:00:00	-0.69	1.17	999.20	-0.22	100.00	0.917
2014-01-03 03:00:00	-0.64	0.80	999.00	-0.22	100.00	0.906
2014-01-03 04:00:00	-0.00	0.01	998.70	-0.21	100.00	0.896
2014-01-03 05:00:00	0.00	0.00	998.80	-0.22	100.00	0.885
2014-01-03 06:00:00	0.00	0.00	998.90	-0.23	100.00	0.875
2014-01-03 07:00:00	0.00	0.00	999.20	-0.26	100.00	0.896
2014-01-03 08:00:00	0.00	0.00	998.80	-0.25	100.00	0.917
2014-01-03 09:00:00	0.00	0.00	998.60	-0.23	100.00	0.938
2014-01-03 10:00:00	0.00	0.00	999.00	-0.18	100.00	0.958
2014-01-03 11:00:00	-0.50	0.82	998.50	-0.05	100.00	0.979
2014-01-03 12:00:00	-0.80	1.20	997.60	0.05	100.00	1.000
2014-01-03 13:00:00	-0.95	1.75	996.30	0.46	100.00	1.000
2014-01-03 14:00:00	-1.15	2.50	995.40	0.75	100.00	1.000
2014-01-03 15:00:00	-1.90	3.65	994.60	0.77	100.00	1.000
2014-01-03 16:00:00	-2.71	3.91	993.70	0.64	100.00	1.000
2014-01-03 17:00:00	-2.07	3.87	992.70	0.54	100.00	1.000
2014-01-03 18:00:00	-1.94	3.36	991.90	0.46	100.00	1.000
2014-01-03 19:00:00	-1.44	2.94	991.20	0.53	100.00	0.990
2014-01-03 20:00:00	-2.14	3.50	990.90	0.63	100.00	0.979
2014-01-03 21:00:00	-2.37	3.76	990.60	0.73	100.00	0.969
